Application Number,Application: Buy Rate,Application: Funded Amount,Application: BPA Broker Negotiation,Application: Origination Fee,Application: Remittance Frequency,Primary Contact Gender,Application: Close Date,customer Age,Amount,crime_record,Applications received All Time,Applications received by last 1 Month,Applications received by last 3 Months,Applications received by last 6 Months,Average Daily Negatives,Average Monthly Sales,Avg Daily Bank Balance,Avg Number of Monthly Deposits,Brokers submitted All Time,Brokers submitted last 1 month,Brokers submitted last 3 months,Brokers submitted last 6 months,Credit Score,Daily Bank Balance v/s Daily Payment,Days,Factor Rate,Has Website,Industry,Inquiry Count,Months,Number of Trade Lines,Office Space,Open Bankruptcy,Position,Public Records,Sales to Payment,Satisfactory,Shipping State,Sum of Monthly Personal Debt,Time In Business Actual,Type,Volume - 4 Months Ago,Volume - 6 Months Ago,Volume - Three Months Ago,Yearly Total Sales,Outcome
APP-306576,1.25,9000.0,0,2.0,Daily,,1/30/2017,41.0,9000.0,,2.0,1.0,1.0,2.0,0.83,29822.5,2952.11,42.83,2.0,1.0,1.0,2.0,620.0,33.3045,132.0,1.3,Yes,Restaurant,30.0,6.29,35.0,Own,1.0,Third,1.0,11.27,33.0,MI,2144.0,2.2,New Deal,26661.0,37981,39354,357870,Pos
APP-305328,1.25,15000.0,0,2.0,Daily,Male,1/30/2017,42.0,15000.0,,1.0,1.0,1.0,1.0,2.0,26684.07,1943.48,36.0,1.0,1.0,1.0,1.0,518.0,6.2419,132.0,1.37,Yes,Dentists,7.0,6.29,21.0,Rent,0.0,First,5.0,12.3,15.0,TX,3941.0,13.2,New Deal,0.0,0,44420.12,320208.84,Pos
APP-305908,1.25,46500.0,0,2.0,Daily,Female,1/30/2017,38.0,46500.0,,3.0,2.0,3.0,3.0,0.0,76963.08,39423.95,9.71,3.0,2.0,3.0,3.0,651.0,81.3905,132.0,1.29,Yes,Real Estate,46.0,6.29,25.0,Rent,1.0,First,1.0,12.5,23.0,CA,928.0,2.9,Potential Dupe,214528.18,82197.23,109603.17,923556.96,Pos
APP-307817,1.25,27000.0,0,2.0,Daily,Male,1/30/2017,59.0,27000.0,,1.0,1.0,1.0,1.0,0.0,46614.43,9427.01,4.5,1.0,1.0,1.0,1.0,690.0,34.6518,132.0,1.33,No,Trucking,3.0,6.29,64.0,Own,0.0,First,0.0,12.7,63.0,KS,15419.0,2.2,New Deal,58509.24,58734.61,35715.16,559373.16,Pos
APP-305447,1.25,7000.0,0,2.0,Daily,Male,1/30/2017,40.0,7000.0,,3.0,1.0,1.0,2.0,0.67,11789.14,569.67,13.33,1.0,1.0,1.0,1.0,659.0,7.9574,132.0,1.35,No,Transportation,15.0,6.29,10.0,Rent,0.0,First,0.0,12.8,7.0,TX,487.0,5.6,Paid Renewal,0.0,0,10757.99,141469.68,Pos
APP-308339,1.25,25000.0,0,2.0,Daily,Male,1/30/2017,44.0,25000.0,,4.0,1.0,1.0,1.0,0.67,97799.48,18884.67,5.67,2.0,1.0,1.0,1.0,454.0,73.3157,132.0,1.36,No,Construction,37.0,6.29,33.0,Own,0.0,Second,2.0,14.11,26.0,NC,2140.0,21.7,Paid Renewal,115282.52,36864.17,98339.29,1173593.76,Pos
APP-308256,1.25,14000.0,0,2.0,Daily,Male,1/30/2017,34.0,14000.0,traffic,3.0,1.0,1.0,2.0,0.0,41939.14,29298.38,33.0,1.0,1.0,1.0,1.0,692.0,201.6406,132.0,1.37,Yes,Retail,,6.29,0.0,Rent,0.0,Second,,15.82,0.0,NC,0.0,4.3,Renewal,1228.34,32013.87,33938.05,503269.68,Pos
APP-305582,1.25,8000.0,0,2.0,Daily,Female,1/30/2017,63.0,8000.0,,1.0,1.0,1.0,1.0,0.0,34022.12,7261.46,16.43,1.0,1.0,1.0,1.0,680.0,92.9659,132.0,1.37,Yes,HVAC,7.0,6.29,22.0,Rent,0.0,Second,0.0,16.1,22.0,FL,5169.0,,New Deal,75246.78,28375.03,14091.91,408265.44,Pos
APP-307802,1.25,73000.0,0,2.0,Daily,Female,1/30/2017,42.0,73000.0,traffic,2.0,1.0,1.0,2.0,2.67,92402.28,15113.56,62.67,1.0,1.0,1.0,1.0,512.0,10.1973,132.0,1.34,Yes,Insurance,7.0,6.29,18.0,Rent,0.0,First,1.0,16.9,15.0,MS,5971.0,14.3,Renewal,0.0,0,123301.28,1108827.36,Pos
APP-306799,1.25,8500.0,0,2.0,Daily,Male,1/30/2017,48.0,8500.0,drug,1.0,1.0,1.0,1.0,0.0,14480.87,6691.12,5.0,1.0,1.0,1.0,1.0,624.0,37.9229,132.0,1.37,Yes,Transportation,7.0,6.29,6.0,Rent,0.0,Second,0.0,17.74,5.0,MN,1187.0,1.5,New Deal,10464.82,9671.37,8346.12,173770.44,Pos
APP-304633,1.25,35000.0,0,2.0,Daily,Male,1/30/2017,47.0,35000.0,,2.0,1.0,1.0,1.0,3.75,101670.44,6789.76,50.25,2.0,1.0,1.0,1.0,647.0,18.6912,132.0,1.37,Yes,Restaurant,32.0,6.29,15.0,Rent,0.0,Second,0.0,18.0,14.0,CT,3105.0,79.8,New Deal,124718.38,94096,87285.8,1220045.28,Pos
APP-298088,1.25,26000.0,0,2.0,Daily,Male,1/30/2017,52.0,26000.0,,3.0,1.0,1.0,2.0,0.0,31518.76,5505.25,16.25,1.0,1.0,1.0,1.0,691.0,21.174,132.0,1.32,Yes,Electrical,8.0,6.29,11.0,Rent,0.0,First,1.0,18.0,9.0,WA,764.0,7.4,Renewal,32402.61,30633.01,33304.08,378225.12,Pos
APP-307330,1.25,7000.0,0,2.0,Daily,Male,1/30/2017,74.0,7000.0,,3.0,1.0,1.0,2.0,1.67,36282.41,3694.85,44.67,2.0,1.0,1.0,2.0,593.0,50.8582,132.0,1.37,Yes,Retail,20.0,6.29,26.0,Rent,0.0,Second,16.0,9.16,25.0,MI,2312.0,6.7,New Deal,64296.02,90671.73,57897.68,435388.92,Pos
APP-303621,1.25,43000.0,0,2.0,Daily,Male,1/31/2017,52.0,43000.0,,1.0,1.0,1.0,1.0,0.17,123029.52,28666.66,103.33,1.0,1.0,1.0,1.0,643.0,64.2333,132.0,1.37,Yes,Auto Repair,24.0,6.29,24.0,Own,0.0,Second,0.0,18.0,24.0,TX,5387.0,1.2,New Deal,170641.53,214152.09,114383.28,1476354.24,Neg
APP-307733,1.25,23000.0,0,2.0,Daily,Male,1/31/2017,51.0,23000.0,drug,1.0,1.0,1.0,1.0,0.0,27539.98,6410.33,5.0,1.0,1.0,1.0,1.0,538.0,27.871,132.0,1.32,Yes,Construction,5.0,6.29,20.0,Own,0.0,First,0.0,0.0,19.0,NJ,4284.0,16.3,New Deal,0.0,0,27600,330479.76,Pos
APP-303385,1.25,26500.0,0,2.0,Daily,Male,1/31/2017,50.0,26500.0,,4.0,1.0,2.0,3.0,1.75,31945.11,2316.74,16.75,2.0,1.0,1.0,1.0,528.0,8.8092,132.0,1.31,Yes,Healthcare,20.0,6.29,23.0,Rent,0.0,First,0.0,17.5,8.0,CA,7347.0,4.2,Renewal,29057.36,0,31033.16,383341.32,Pos
APP-307647,1.34,25500.0,0,2.0,Daily,Male,1/31/2017,49.0,25500.0,,7.0,1.0,1.0,2.0,0.0,30825.51,4412.72,6.5,2.0,1.0,1.0,1.0,548.0,17.0467,132.0,1.34,Yes,Spa/Salon,17.0,6.29,11.0,Rent,0.0,First,2.0,17.7,9.0,NY,1141.0,4.7,Renewal,36500.0,28350.25,42469.99,369906.12,Pos
APP-307945,1.25,150000.0,0,2.0,Daily,Male,1/31/2017,56.0,150000.0,,1.0,1.0,1.0,1.0,4.17,376848.48,8230,91.67,1.0,1.0,1.0,1.0,628.0,5.2864,132.0,1.37,Yes,Entertainment,11.0,6.29,63.0,Own,0.0,Third,0.0,18.0,56.0,NY,60692.0,37.3,New Deal,159425.18,361044.6,443767.46,4522181.76,Pos
APP-307495,1.25,35000.0,0,2.0,Daily,Male,1/31/2017,46.0,35000.0,drug,1.0,1.0,1.0,1.0,0.5,42391.66,9837.19,19.0,1.0,1.0,1.0,1.0,616.0,27.0803,132.0,1.37,Yes,Real Estate,23.0,6.29,30.0,Rent,1.0,First,5.0,18.0,23.0,UT,2830.0,18.5,New Deal,64204.88,0,99631.19,508699.92,Pos
APP-307464,1.26,42500.0,0,2.0,Daily,Female,1/31/2017,45.0,42500.0,,5.0,1.0,1.0,2.0,0.38,94637.53,21182.04,79.08,1.0,1.0,1.0,1.0,514.0,34.099,154.0,1.38,Yes,Restaurant,15.0,7.33,24.0,Own,0.0,Second,0.0,18.0,14.0,CA,33371.0,18.9,Renewal,84019.62,70273.97,89137.6,1135650.36,Pos
APP-308648,1.25,16500.0,0,2.0,Daily,Male,2/1/2017,61.0,16500.0,traffic,6.0,1.0,4.0,6.0,0.33,19742.64,6602.37,5.33,3.0,1.0,3.0,3.0,518.0,38.554,132.0,1.37,Yes,Real Estate,21.0,6.29,21.0,Own,0.0,First,0.0,0.0,18.0,IL,2911.0,12.6,New Deal,0.0,0,34551.59,236911.68,Neg
APP-308416,1.25,16500.0,0,2.0,Daily,Female,2/1/2017,54.0,16500.0,,1.0,1.0,1.0,1.0,1.33,19842.5,1954.36,45.67,1.0,1.0,1.0,1.0,638.0,11.4123,132.0,1.37,Yes,Restaurant,19.0,6.29,16.0,Own,1.0,First,1.0,0.0,15.0,FL,2287.0,2.6,New Deal,19166.1,22423.94,18630.99,238110,Neg
APP-307951,1.25,9500.0,0,2.0,Daily,,2/1/2017,,9500.0,,2.0,1.0,1.0,2.0,0.0,28606.06,10747.78,40.0,1.0,1.0,1.0,1.0,641.0,113.1345,132.0,1.32,No,Auto Repair,7.0,6.29,18.0,Own,1.0,Second,1.0,10.87,12.0,GA,10673.0,,New Deal,22265.84,26459.4,27329.63,343272.72,Neg
APP-308354,1.25,45000.0,0,2.0,Daily,,2/1/2017,42.0,45000.0,,2.0,1.0,1.0,2.0,3.0,77526.16,0,12.67,1.0,1.0,1.0,1.0,522.0,,132.0,1.37,Yes,Construction,7.0,6.29,9.0,Own,0.0,Second,0.0,12.75,5.0,NC,1717.0,8.0,Renewal,98892.0,76539,90875.56,930313.92,Neg
APP-308606,1.25,10000.0,0,2.0,Daily,Male,2/1/2017,48.0,10000.0,traffic,2.0,1.0,1.0,1.0,2.33,15943.84,1451.99,23.0,1.0,1.0,1.0,1.0,524.0,13.888,132.0,1.38,Yes,Food & Beverage,3.0,6.29,8.0,Rent,1.0,First,3.0,13.75,4.0,IN,200.0,6.3,Paid Renewal,0.0,0,22041.72,191326.08,Neg
APP-308406,1.25,19500.0,0,2.0,Daily,,2/1/2017,49.0,19500.0,traffic,1.0,1.0,1.0,1.0,0.33,23470.52,1404.13,28.67,1.0,1.0,1.0,1.0,558.0,7.2557,132.0,1.31,Yes,Clothing,9.0,6.29,19.0,Rent,0.0,First,0.0,17.4,17.0,TX,3449.0,19.6,New Deal,0.0,0,21327.18,281646.24,Neg
APP-308362,1.25,11500.0,0,2.0,Daily,,2/1/2017,48.0,11500.0,fraud,2.0,1.0,1.0,2.0,0.0,14127.05,2935.94,8.0,1.0,1.0,1.0,1.0,563.0,24.5974,132.0,1.37,No,Transportation,12.0,6.29,7.0,Own,0.0,First,10.0,17.85,5.0,MI,0.0,18.7,Renewal,11982.7,12155.85,14508.49,169524.6,Neg
APP-308330,1.25,16000.0,0,2.0,Daily,Male,2/1/2017,43.0,16000.0,drug,3.0,1.0,1.0,2.0,1.57,19457,1156.94,11.0,2.0,1.0,1.0,1.0,514.0,8.1282,132.0,1.37,Yes,Entertainment,30.0,6.29,21.0,Rent,0.0,First,0.0,18.0,17.0,FL,5839.0,11.6,Renewal,10280.0,2300,46810,233484,Neg
APP-308204,1.25,18500.0,0,2.0,Daily,Male,2/1/2017,57.0,18500.0,traffic,2.0,1.0,1.0,2.0,0.33,60282.81,9377,27.67,1.0,1.0,1.0,1.0,583.0,48.836,132.0,1.37,Yes,Body Shops,11.0,6.29,12.0,Rent,0.0,Second,1.0,18.0,11.0,AL,411.0,4.9,Renewal,61242.59,59909.12,47641.64,723393.72,Neg
APP-308445,1.25,35000.0,0,2.0,Daily,Female,2/1/2017,39.0,35000.0,,3.0,1.0,2.0,2.0,0.75,80411.96,3973.68,77.25,3.0,1.0,2.0,2.0,632.0,11.44,132.0,1.31,Yes,Body Shops,18.0,6.29,23.0,Rent,0.0,Second,0.0,3.89,21.0,CA,746.0,2.9,New Deal,74080.75,85190.06,98607.61,964943.52,Neg
APP-309173,1.25,14000.0,0,2.0,Daily,Female,2/1/2017,33.0,14000.0,drug,1.0,1.0,1.0,1.0,0.0,17105.21,3659.26,11.67,1.0,1.0,1.0,1.0,551.0,26.337,132.0,1.31,Yes,Painting,30.0,6.29,39.0,Own,0.0,First,0.0,0.0,33.0,IN,3223.0,1.2,New Deal,0.0,0,14167.5,205262.52,Pos
APP-308573,1.25,13500.0,0,2.0,Daily,Male,2/1/2017,46.0,13500.0,,6.0,1.0,1.0,1.0,6.0,16626.17,1082.15,38.33,5.0,1.0,1.0,1.0,514.0,7.7236,132.0,1.37,No,Retail,32.0,6.29,19.0,Rent,0.0,First,0.0,0.0,15.0,TX,4044.0,3.5,New Deal,15951.0,14526,15340,199514.04,Pos
APP-306946,1.25,15000.0,0,2.0,Daily,Male,2/1/2017,46.0,15000.0,,1.0,1.0,1.0,1.0,0.25,18224.2,1440.24,56.0,1.0,1.0,1.0,1.0,586.0,9.2513,132.0,1.37,Yes,Retail,8.0,6.29,15.0,Rent,0.0,First,0.0,0.0,13.0,TX,1609.0,2.0,New Deal,15505.45,0,18166.7,218690.4,Pos
APP-308522,1.25,47000.0,0,2.0,Daily,Male,2/1/2017,67.0,47000.0,drug,5.0,3.0,4.0,4.0,0.75,86015.49,28.35,16.5,3.0,2.0,2.0,2.0,523.0,0.0627,132.0,1.27,Yes,Law Offices,18.0,6.29,31.0,Rent,0.0,First,0.0,11.1,29.0,CA,9143.0,29.1,New Deal,107768.95,0,158179,1032185.88,Pos
APP-306931,1.25,250000.0,0,2.0,Daily,Male,2/1/2017,63.0,250000.0,traffic,1.0,1.0,1.0,1.0,0.33,934918.06,106729.46,62.33,1.0,1.0,1.0,1.0,721.0,43.3486,132.0,1.3,Yes,Logistics companies,36.0,6.29,37.0,Rent,0.0,Second,0.0,11.3,36.0,FL,45350.0,4.9,New Deal,1175786.9,827992.99,817786.06,11219016.72,Pos
APP-308090,1.25,16000.0,0,2.0,Daily,Female,2/1/2017,65.0,16000.0,,1.0,1.0,1.0,1.0,1.33,53975.59,26840.83,42.0,1.0,1.0,1.0,1.0,730.0,161.6333,132.0,1.37,Yes,Contracting,11.0,6.29,19.0,Rent,0.0,Second,0.0,11.53,19.0,IL,6701.0,33.7,New Deal,32015.42,52926,62481.61,647707.08,Pos
APP-307655,1.25,50000.0,0,2.0,Daily,Male,2/1/2017,40.0,50000.0,traffic,3.0,1.0,1.0,1.0,0.0,177452.64,46001.31,9.67,2.0,1.0,1.0,1.0,608.0,88.6448,132.0,1.37,No,Transportation,24.0,6.29,30.0,Own,0.0,First,10.0,12.55,12.0,MT,3317.0,2.9,Paid Renewal,0.0,0,172653,2129431.68,Pos
APP-307877,1.24,20000.0,0,2.0,Daily,Male,2/1/2017,61.0,20000.0,traffic,3.0,3.0,3.0,3.0,1.5,88247.46,6920.76,15.75,3.0,3.0,3.0,3.0,718.0,27.9887,110.0,1.36,Yes,Retail,8.0,5.24,55.0,Rent,0.0,Second,0.0,12.56,54.0,FL,732.0,1.1,Potential Dupe,12771.47,118384.03,72249.53,1058969.52,Pos
APP-308499,1.25,5000.0,0,2.0,Daily,Female,2/1/2017,49.0,5000.0,,1.0,1.0,1.0,1.0,0.33,14213.5,712.76,5.33,1.0,1.0,1.0,1.0,627.0,13.736,132.0,1.37,No,Trucking,14.0,6.29,46.0,Own,0.0,First,0.0,12.6,45.0,TX,4402.0,,New Deal,15260.0,15980,15610,170562,Pos
APP-307278,1.24,7500.0,0,2.0,Daily,Male,2/1/2017,31.0,7500.0,,1.0,1.0,1.0,1.0,0.25,15507.37,4160.14,7.25,1.0,1.0,1.0,1.0,653.0,44.8629,110.0,1.36,No,Transportation,3.0,5.24,6.0,Own,0.0,First,0.0,12.6,4.0,CO,599.0,,New Deal,8853.93,0,15495.19,186088.44,Pos
APP-307794,1.25,25000.0,0,2.0,Daily,Male,2/1/2017,31.0,25000.0,,5.0,2.0,2.0,3.0,1.29,68097.42,5029.14,14.0,2.0,2.0,2.0,2.0,633.0,15.0607,132.0,1.37,No,Transportation,31.0,6.29,16.0,Rent,0.0,Second,0.0,13.17,16.0,IL,1170.0,2.5,Parallel,78839.36,83431.91,86547.67,817169.04,Pos
APP-307224,1.24,12500.0,0,2.0,Daily,Female,2/1/2017,47.0,12500.0,traffic,1.0,1.0,1.0,1.0,1.38,21772.2,2909.25,9.75,1.0,1.0,1.0,1.0,496.0,17.2251,110.0,1.3,Yes,Accounting,2.0,5.24,26.0,Rent,0.0,First,0.0,14.3,9.0,IL,2810.0,5.6,New Deal,28891.07,52012.12,16223.67,261266.4,Pos
APP-308954,1.25,9000.0,0,2.0,Daily,Female,2/1/2017,33.0,9000.0,,2.0,1.0,1.0,2.0,0.0,10932.76,5143.7,42.0,1.0,1.0,1.0,1.0,530.0,55.0658,132.0,1.37,Yes,Counseling,5.0,6.29,39.0,Rent,1.0,First,1.0,18.0,39.0,GA,11914.0,1.6,Renewal,11885.0,10277.86,27984.32,131193.12,Pos
APP-308929,1.25,28000.0,0,2.0,Daily,Male,2/1/2017,52.0,28000.0,,3.0,3.0,3.0,3.0,2.33,33977.8,5741.35,85.33,1.0,1.0,1.0,1.0,747.0,19.7562,132.0,1.37,Yes,Spa/Salon,8.0,6.29,10.0,Rent,0.0,First,0.0,18.0,10.0,PA,561.0,3.0,Potential Dupe,0.0,0,35927.77,407733.6,Pos
APP-308752,1.25,9000.0,0,2.0,Daily,Male,2/1/2017,48.0,9000.0,drug,1.0,1.0,1.0,1.0,2.33,16966.8,1172.72,26.67,1.0,1.0,1.0,1.0,588.0,12.9325,132.0,1.33,No,Auto Repair,8.0,6.29,14.0,Own,0.0,Second,2.0,18.0,13.0,TX,1332.0,,New Deal,7191.67,11339.75,13417.04,203601.6,Pos
APP-308145,1.25,19500.0,0,2.0,Daily,Male,2/1/2017,60.0,19500.0,,2.0,1.0,1.0,1.0,0.67,66195.49,7606.11,29.33,2.0,1.0,1.0,1.0,727.0,37.8583,132.0,1.36,Yes,Auto Repair,3.0,6.29,30.0,Own,0.0,Second,1.0,18.0,29.0,CA,432.0,10.7,New Deal,95764.31,88597.99,70309.55,794345.88,Pos
APP-306452,1.25,63500.0,0,2.0,Daily,Male,2/1/2017,34.0,63500.0,drug,1.0,1.0,1.0,1.0,0.0,77499.2,193277.5,67.25,1.0,1.0,1.0,1.0,603.0,293.2668,132.0,1.37,Yes,Education,19.0,6.29,30.0,Own,0.0,First,1.0,18.0,25.0,OH,3490.0,4.0,New Deal,257818.0,0,348518.91,929990.4,Pos
APP-306312,1.25,45500.0,0,2.0,Daily,Male,2/1/2017,54.0,45500.0,,1.0,1.0,1.0,1.0,0.18,55394.4,17733.05,4.36,1.0,1.0,1.0,1.0,701.0,40.1797,132.0,1.37,No,Healthcare,3.0,6.29,31.0,Own,0.0,First,0.0,18.0,30.0,NJ,15122.0,2.8,New Deal,109595.75,141545.77,73946.75,664732.8,Pos
APP-304945,1.25,127000.0,0,2.0,Daily,Male,2/1/2017,72.0,127000.0,,2.0,2.0,2.0,2.0,0.43,297291.05,31711.57,62.86,2.0,2.0,2.0,2.0,723.0,23.0549,132.0,1.37,Yes,Printing,26.0,6.29,15.0,Own,0.0,Third,0.0,18.0,15.0,NC,264.0,1.7,Potential Dupe,299082.31,356033.79,283529.63,3567492.6,Pos
APP-307017,1.25,37500.0,0,2.0,Daily,Male,2/1/2017,60.0,37500.0,drug,4.0,3.0,4.0,4.0,1.67,123068.3,1136.84,50.33,3.0,3.0,3.0,3.0,675.0,2.921,132.0,1.37,No,Gas Stations,24.0,6.29,53.0,Own,0.0,First,5.0,6.68,51.0,NJ,2618.0,9.9,Potential Dupe,0.0,0,113584.61,1476819.6,Pos
APP-308276,1.25,7500.0,0,2.0,Daily,Male,2/1/2017,44.0,7500.0,,1.0,1.0,1.0,1.0,0.0,18120.09,3290.33,33.0,1.0,1.0,1.0,1.0,644.0,42.2704,132.0,1.37,No,Dry Cleaning,34.0,6.29,26.0,Rent,0.0,Second,0.0,8.78,23.0,NY,666.0,3.8,New Deal,12089.5,8892.71,18083.31,217441.08,Pos
APP-307347,1.25,30000.0,0,2.0,Daily,,2/1/2017,56.0,30000.0,,1.0,1.0,1.0,1.0,0.25,53834,5029.58,49.25,1.0,1.0,1.0,1.0,709.0,16.1536,132.0,1.37,Yes,Restaurant,12.0,6.29,84.0,Rent,0.0,Second,0.0,,82.0,OH,3001.0,1.7,New Deal,54916.3,56187.63,79961.17,646008,Pos
APP-307936,1.255,150000.0,0,2.0,Daily,Male,2/2/2017,51.0,150000.0,,6.0,1.0,1.0,1.0,0.0,229752.06,141835.28,16.0,3.0,1.0,1.0,1.0,780.0,105.6375,143.0,1.28,No,Real Estate,72.0,6.81,12.0,Own,0.0,First,0.0,12.29,11.0,OH,25.0,21.7,Paid Renewal,0.0,0,669675.45,2757024.72,Neg
APP-308888,1.25,30000.0,0,2.0,Daily,,2/2/2017,58.0,30000.0,,3.0,1.0,2.0,2.0,0.0,97695.91,14946.2,24.67,2.0,1.0,1.0,1.0,577.0,49.4465,132.0,1.33,Yes,Wholesale,11.0,6.29,34.0,Own,0.0,Second,1.0,13.07,30.0,NC,9086.0,21.8,New Deal,84434.99,86638.79,84310.94,1172350.92,Neg
APP-308810,1.25,31000.0,0,2.0,Daily,Female,2/2/2017,41.0,31000.0,traffic,1.0,1.0,1.0,1.0,0.0,37668.57,22934.2,27.67,1.0,1.0,1.0,1.0,591.0,72.3362,132.0,1.35,Yes,Veterinarians,16.0,6.29,32.0,Rent,0.0,First,1.0,0.0,22.0,CA,109.0,2.1,New Deal,32827.91,34538.36,28200.25,452022.84,Pos
APP-304291,1.25,12000.0,0,2.0,Daily,Female,2/2/2017,54.0,12000.0,traffic,1.0,1.0,1.0,1.0,0.0,14514.36,781.79,29.33,1.0,1.0,1.0,1.0,533.0,6.2769,132.0,1.37,No,Restaurant,6.0,6.29,41.0,Rent,0.0,First,0.0,0.0,32.0,WA,3021.0,1.6,New Deal,0.0,0,14555.56,174172.32,Pos
APP-309519,1.25,39000.0,0,2.0,Daily,Male,2/2/2017,27.0,39000.0,,1.0,1.0,1.0,1.0,0.0,110359.52,8832.55,74.0,1.0,1.0,1.0,1.0,634.0,21.8212,132.0,1.37,Yes,Contracting,50.0,6.29,25.0,Own,0.0,Second,0.0,10.34,25.0,VA,4700.0,,New Deal,106258.74,133645.44,153590.29,1324314.24,Pos
APP-303204,1.25,9500.0,0,2.0,Daily,Male,2/2/2017,55.0,9500.0,,1.0,1.0,1.0,1.0,0.75,16379.48,2877.01,4.5,1.0,1.0,1.0,1.0,530.0,29.1786,132.0,1.37,No,Transportation,62.0,6.29,27.0,Own,0.0,First,0.0,12.65,25.0,PA,8525.0,11.6,New Deal,20452.87,0,6270.88,196553.76,Pos
APP-304558,1.25,16000.0,0,2.0,Daily,Male,2/2/2017,73.0,16000.0,drug,4.0,1.0,1.0,2.0,2.58,23539.03,1333.39,35.08,1.0,1.0,1.0,1.0,658.0,5.2996,132.0,1.37,Yes,Florists,30.0,6.29,11.0,Rent,0.0,First,9.0,14.85,5.0,SC,25.0,22.3,Paid Renewal,21664.62,30956.94,22677.62,282468.36,Pos
APP-305112,1.26,35000.0,0,2.5,Daily,Female,2/2/2017,68.0,35000.0,,3.0,1.0,1.0,2.0,4.5,43558.76,3409.8,13.0,1.0,1.0,1.0,1.0,536.0,10.7936,154.0,1.39,Yes,Construction,8.0,7.33,15.0,Rent,0.0,First,0.0,15.2,15.0,CA,11008.0,23.8,Renewal,57864.38,0,53913.19,522705.12,Pos
APP-308182,1.25,150000.0,0,2.0,Daily,Male,2/2/2017,38.0,150000.0,,2.0,1.0,2.0,2.0,0.0,487432.2,248094.64,7.8,1.0,1.0,1.0,1.0,655.0,159.3599,132.0,1.37,Yes,Contracting,11.0,6.29,14.0,Rent,0.0,Second,0.0,17.43,13.0,NY,6720.0,5.9,New Deal,122289.11,567182.9,854638.73,5849186.4,Pos
APP-307660,1.26,22000.0,0,2.0,Daily,Male,2/2/2017,51.0,22000.0,,9.0,1.0,1.0,3.0,1.0,43205.41,4120.6,27.0,2.0,1.0,1.0,1.0,610.0,20.7514,154.0,1.39,Yes,Financial planning,18.0,7.33,26.0,Rent,0.0,Second,0.0,17.5,23.0,CA,3600.0,22.7,Renewal,39155.0,33675.3,64942,518464.92,Pos
APP-309222,1.25,7000.0,0,2.0,Daily,Male,2/2/2017,37.0,7000.0,,2.0,1.0,1.0,2.0,0.91,25186.46,4159.18,31.27,1.0,1.0,1.0,1.0,498.0,24.0091,132.0,1.33,Yes,Insurance,18.0,6.29,33.0,Rent,0.0,Second,0.0,17.61,29.0,TN,5100.0,2.1,New Deal,18423.2,13971.69,13941.68,302237.52,Pos
APP-308650,1.25,11500.0,0,2.0,Daily,Male,2/2/2017,49.0,11500.0,,1.0,1.0,1.0,1.0,0.0,31375.56,0,27.33,1.0,1.0,1.0,1.0,608.0,,132.0,1.35,Yes,Childcare,41.0,6.29,39.0,Rent,1.0,Second,1.0,17.79,31.0,OH,4960.0,1.8,New Deal,32595.43,25147.27,24834.87,376506.72,Pos
APP-309112,1.25,9000.0,0,2.0,Daily,Male,2/2/2017,38.0,9000.0,traffic,1.0,1.0,1.0,1.0,0.0,10968.07,4397.44,5.0,1.0,1.0,1.0,1.0,674.0,47.0768,132.0,1.37,No,Manufacturing,5.0,6.29,26.0,Own,0.0,First,1.0,18.0,23.0,NY,2102.0,,New Deal,0.0,0,11873.75,131616.84,Pos
APP-304404,1.25,18000.0,0,2.0,Daily,Male,2/2/2017,56.0,18000.0,,6.0,1.0,1.0,6.0,0.0,34811.79,1324.72,128.67,4.0,1.0,1.0,4.0,,7.0909,132.0,1.37,Yes,Farms,25.0,6.29,0.0,Own,0.0,Second,0.0,6.86,0.0,CA,0.0,15.7,New Deal,16041.36,23204.38,42286,417741.48,Pos
APP-309355,1.25,13500.0,0,2.0,Daily,Male,2/3/2017,28.0,13500.0,,2.0,1.0,1.0,1.0,0.5,16057.08,839.13,7.17,1.0,1.0,1.0,1.0,642.0,5.989,132.0,1.37,Yes,Manufacturing,18.0,6.29,15.0,Rent,0.0,First,2.0,0.0,15.0,IN,3907.0,6.1,New Deal,12550.9,8932.77,19970.87,192684.96,Neg
APP-309722,1.36,20000.0,0,2.0,Daily,,2/3/2017,28.0,20000.0,traffic,3.0,1.0,1.0,3.0,0.33,61980.85,2422.51,23.67,3.0,1.0,1.0,3.0,635.0,9.797,110.0,1.36,No,Retail,16.0,5.24,9.0,Rent,0.0,Second,0.0,14.55,3.0,TX,25.0,1.3,Renewal,60289.0,29086,22449.7,743770.2,Neg
APP-309052,1.25,16000.0,0,2.0,Daily,Male,2/3/2017,41.0,16000.0,,1.0,1.0,1.0,1.0,0.17,85128.45,60897.73,22.83,1.0,1.0,1.0,1.0,664.0,361.1537,130.0,1.37,Yes,Law Offices,24.0,6.19,52.0,Rent,0.0,Third,0.0,18.0,42.0,CA,5813.0,13.3,New Deal,132094.2,159520.72,60352.85,1021541.4,Neg
